abase	əˈbeɪs
abasement	əˈbeɪsmənt
abashed	əˈbæʃt
abate	əˈbeɪt
abatement	əˈbeɪtmənt
abattoir	ˈæbətwɑː(r)
abaya	əˈbeɪjə
abba	ˈʌbə
abbess	ˈæbes
abbey	ˈæbi
abbot	ˈæbət
abbreviate	əˈbriːvieɪt
abbreviated	əˈbriːvieɪtɪd
abbreviation	əˌbriːviˈeɪʃn
ABC	ˌeɪ biː ˈsiː
ABD	ˌeɪ biː ˈdiː
abdicate	ˈæbdɪkeɪt
abdication	ˌæbdɪˈkeɪʃn
abdications	ˌæbdɪˈkeɪʃn
abdomen	ˈæbdəmən
abdominal	æbˈdɒmɪnl
abduct	æbˈdʌkt
abductee	ˌæbdʌkˈtiː
abduction	æbˈdʌkʃn
abductions	æbˈdʌkʃn
abductor	æbˈdʌktə(r)
abed	əˈbed
Aberdonian	ˌæbəˈdəʊniən
aberrant	æˈberənt
aberration	ˌæbəˈreɪʃn
abet	əˈbet
abeyance	əˈbeɪəns
ABH	ˌeɪ biː ˈeɪtʃ
abhor	əbˈhɔː(r)
abhorrence	əbˈhɒrəns
abhorrent	əbˈhɒrənt
abide	əˈbaɪd
abided	əˈbaɪd
abiding	əˈbaɪdɪŋ
abilities	əˈbɪləti
ability	əˈbɪləti
abiotic	ˌeɪbaɪˈɒtɪk
abject	ˈæbdʒekt
abjectly	ˈæbdʒektli
abjure	əbˈdʒʊə(r)
ablation	əˈbleɪʃn
ablative	ˈæblətɪv
ablaze	əˈbleɪz
able	ˈeɪbl
abler	ˈeɪblə(r)
ablest	ˈeɪblə(r)
ablutions	əˈbluːʃnz
